"# of Fireplaces","Address - City","Address - Street Complete","Address - Zip Code","Architectural Style","Bedrooms And Possible Bedrooms","Close Date","Close Price","Cooling","DOM","Exterior Features","Fireplace Features","Full Bathrooms","Garage Spaces","Heating","Levels","List Price","Listing Date","Listing Number","Lot Size - Acres","Lot Size - Sq Ft","On Market Date","Original Price","Parking Features","Partial Bathrooms","Patio And Porch Features","Pending Date","Pool","Pool Features","Property Type","Public Remarks","Square Footage","Status","Subdivision","Year Built Details"
"1","Penn Valley","11545 Sandpiper Way","95946","Ranch","3","","0.00","Ceiling Fan(s),Central","281","Dog Run","Brick,Living Room","2","2","Central,Electric,Wood Stove","One","529000.00","05/30/24","224057930","0.2900","12632","05/31/24","580000.00","Attached,Garage Door Opener,Garage Facing Front","0","Uncovered Deck,Uncovered Patio","","No","","Residential","Sweet single level 3 bdrm, 2 bath Lake Wildwood home.  Greeted by glistening engineered Acacia Wood flooring underneath the wood cathedral ceiling in the living room you'll feel a sense of serenity.  The updated kitchen with granite counter tops, some open shelving, double drawer dishwasher and double  ovens are a cooks dream.  Large dining area is perfect for family gatherings or entertaining and opens onto the rear deck for spill over guests or the perfect cocktail party.  The living room features a cozy wood burning fireplace and a bar area with open shelving.  Down the hall you'll find two decent sized guest rooms, and an updated guest bath.  The primary bedroom features the beautiful acacia flooring and opens onto the rear deck where the Hot Springs hot tubs awaits you.  Imagine unwinding under the stars in your own private oasis.  Primary bath is also update with tile walk in shower and dual vanities. This home received a new roof just 3 or 4 years ago and also a new water heater in Nov. of 2023.   Lake Wildwood is a private gated community in the Sierra Foothills and features a 300+ acre lake with 5 lakeside parks with swim areas kayaking, boating and fishing, 18 hole championship golf course, Clubhouse with 19th hole, tennis and pickleball courts, hiking trail and more.","1854","Active","Lake Wildwood","1986"
"1","Penn Valley","13598 Desperado Dr","95946","Ranch,Traditional","5 (6)","","0.00","Central,Other","353","","Living Room","2","0","Central,See Remarks","One","800000.00","06/03/24","224015844","12.2500","533610","06/06/24","800000.00","No Garage,Boat Storage,RV Access,Covered,RV Possible,RV Storage,Uncovered Parking Spaces 2+,Other","1","","","No","","Residential","Nestled within the gentle embrace of sprawling hills and lush greenery lies a property brimming with natural abundance and human craftsmanship. At its core stands the Main Well, delving to depths of approximately 300 feet or more, generously yielding over 30 gallons per minute, a lifeline to the land and its inhabitants. The Secondary Well APROX. 80 feet, at 3-5 gallons per minute. For irrigation needs, the property relies on the dependable flow of NID water, typically procuring 2 miner's inches per season, with the capacity for up to 9 inches ensuring the verdant vitality of  crops and fields. The majestic Main Pond stretches across 2 acres,  approximately 19 feet deep. Holding a precious 1920 water right, the pond serves as a shared oasis among four parcels, providing recreational respite to all who dwell upon its shores.  Further enriching the property's water features are three Stock Ponds, varying in size from 1200 to 500 square feet, and depths ranging from 3 to 5 feet, offering additional life-sustaining liquid. Three drought-proof springs,  quench the land's thirst year-round, producing between 1/2 to 4 gallons per minute each. Power needs are met by two robust 200 amp services, ensuring the seamless operation of modern amenities throughout the property.","1432","Active","","1939"
"1","Rough and Ready","10757 Oak Hill Dr","95975","Contemporary","3","","0.00","Ceiling Fan(s),Central","333","Covered Courtyard","Living Room,Raised Hearth,Stone,Wood Burning","2","2","Central,Fireplace(s)","","799000.00","06/12/24","224064608","8.9600","390298","06/26/24","849000.00","24'+ Deep Garage,Attached,Deck,RV Possible,Detached,Garage Facing Front,Uncovered Parking Spaces 2+,Garage Facing Side","1","Covered Deck,Uncovered Deck,Covered Patio","","No","","Residential","Through the flagstone entrance and Spanish tile entry, experience the million-dollar view! Large windows across 3 walls of the open concept main floor compliment this living space. From the attached deck, descend the broad staircase, and wander flagstone paths to the 500+ sq ft wisteria draped pergola that is home to pollinators hovering and buzzing in the lavender blooms. Also on the main level is the large primary suite. The primary bath invites you to relax in the soaker tub, be refreshed in the glass and marble shower, and tend to self-care at the custom 9 ft vanity. Afterwards, step through the custom French doors into the spacious his/hers walk-in closet that provides over 100 linear ft of shelving and 18 ft of closet rod storage. The suite's outdoor deck overlooks both the valley below and the hobbyist orchard. Upstairs are 2 additional bathrooms and additional bedrooms + an office to fit all your needs. The garage easily fits 2 vehicles, has a wall of built-in cabinets, and is wired to support an EV charger. Outside are 3 Tesla Powerwalls and a 1200 sq ft building with power and water. Come and experience for yourself the comforts (Vermont Castings stove, whole house fan, etc.) and conveniences (drip irrigation, composite decking, etc.) of this Sierra foothills home.","2920","Active","","1997"
"1","Grass Valley","18921 Greenhorn Rd","95945","Rustic,Other","3","","0.00","Ceiling Fan(s),Evaporative Cooler,Window Unit(s)","268","Dog Run,Uncovered Courtyard","Wood Stove","2","0","Wood Stove","","474988.00","06/11/24","224065221","3.8000","165528","08/30/24","575000.00","1/2 Car Space,No Garage,Boat Storage,RV Access,RV Possible,RV Storage,Uncovered Parking Spaces 2+,Guest Parking Available","1","Front Porch,Covered Deck,Wrap Around Porch","","No","","Residential","The best way to get here is through YOU BET ROAD. Do NOT go through Greenhorn*Discover your perfect mountain retreat. This cozy, private home provides a tranquil escape surrounded by nature on 3.8 acres of land. Blending rustic charm with modern upgrades, this property is ready to welcome its next family. With a fresh coat of interior paint, some key features include:    Income Potential: The land is well-equipped with an RV pad featuring full hookups, three water tanks, and a newly built 10x20 shop.  Gardening Paradise: A beautiful 60x60 established garden is already producing vegetables, perfect for anyone with a green thumb.  Recreational Opportunities: Enjoy nearby lakes, rivers, and trails for endless outdoor activities, with a year-round water source close to the property for added convenience.  Equestrian Potential: Previously used as a horse property, it's well-suited for equestrian enthusiasts.  Ultimate Privacy: Tucked away in a serene setting, this is the ideal spot for those seeking peace and solitude.  More than just a home, this property offers a lifestyle surrounded by nature, with income potential and endless outdoor activities.","1769","Active","","1994"
"1","Smartsville","10560 Kearney Court","95977","Ranch,Rustic","3","","0.00","Ceiling Fan(s),Central","330","","Living Room","2","0","Central,Fireplace(s)","One","430000.00","06/29/24","224070990","13.5900","591980","06/29/24","495000.00","No Garage,Private,RV Possible,Uncovered Parking Spaces 2+,Guest Parking Available","0","Front Porch,Back Porch,Covered Deck","","No","","Residential","ASSUMABLE FHA LOAN AT 3.37%! $50k Price Reduction from original price! The well recently maxed out the gauge at 30gpm of crystal clean water. Plumbing is ready for a water storage tank to boost the efficiency of the 20 solar panels. 26 fruit trees and extensive gardens are waiting for your green thumb! The 3 Bedroom 2 bath manufactured home boasts a new roof and fresh paint. Interior flooring is partially upgraded with waterproof laminate. The recirculating wood stove keeps the house toasty and the AC cool. Upgraded to all electric but ready for propane. The 7 outbuildings and RV ADU make this property full of potential. The natural landscape includes many Native-American stone megaliths. Black Oak trees offer a plethora of natural resources for firewood or crafting. This homestead is too unique to describe. One mile from lake Englebright and 10 miles from Spenceville Wildlife Refuge makes it perfectly located for your outdoor adventures. Solar!! Schedule a visit today!","1530","Active","","1999"
"2","Nevada City","10990 Northcote Pl","95959","Mediterranean","5 (6)","","0.00","Ceiling Fan(s),Central,Whole House Fan,MultiUnits,MultiZone","317","Fireplace,BBQ Built-In,Kitchen,Misting System,Wet Bar","Living Room,Free Standing,Gas Log","5","4","Central,Radiant Floor,Solar w/Backup,MultiUnits,Natural Gas","Two,Multi/Split","1999000.00","07/11/24","224073867","2.4800","108029","07/12/24","2450000.00","24'+ Deep Garage,Deck,Garage Door Opener,Uncovered Parking Spaces 2+,Garage Facing Side,Guest Parking Available,Workshop in Garage,Interior Access","0","Front Porch,Covered Patio,Uncovered Patio,Enclosed Patio","","Yes","Built-In,Pool Cover,Solar Heat","Residential","Remarkable Mediterranean Villa on a breathtaking hilltop parcel unlike anything in Nevada County! Over 6300 s.f. of luxury living with over 5000 s.f. on one level! Stunning travertine & cherry wood floors with in-laid Celtic accents! Over 50 Lutron lighting system for the art lover! Lowen Windows and custom coved alder doors & automatic shade screens. AMAZING sunrise/sunsets throughout the year. Owner's suite with private patio & firepit; secondary owners' suite, plus fantastic guest quarters with interior & exterior access. 5 bedrooms total! 1000 s.f 'Gathering Room' on lower level with wine cellar. 72' solar heated pool, 14KW Watt Solar, Al Fresco outdoor kitchen including imported Italian Pizza oven! Multiple outdoor sitting areas accented with 160 million year old Yuba Blue Boulders! Gently tiered gardens with a 35 zone irrigation system fed by a strong well, plus City water into the home. Oversized 4 car tandem garage, plus carport, huge garden shed with Italian washing station, 13 fruit trees and a Mongolian Basalt water feature. Enjoy a glass of wine in the covered gazebo! The level back parcel has an 1849 replica of a miners' cottage and can be developed to an ADU or tennis courts/bocci ball! Come home to luxury living in the Sierra Foothills! Some virtually staged photos","6351","Active","Stonebridge","2000"
"1","Auburn","12946 Ramada","95602","","4","","0.00","Central","293","","Brick","2","4","Central","","749000.00","07/11/24","224075736","5.4400","236966","07/11/24","839000.00","RV Possible,Garage Facing Front,Guest Parking Available","1","","","No","","Residential","Here sits a spacious country home with a modern touch. The upstairs features an all new kitchen with stainless steel appliances and quartz countertops, that is open to a large living room and fireplace. The sliding glass door opens out to a large wrap around deck in a tranquil setting. The primary bedroom also has a slider that leads out to the deck. Downstairs you will find a bedroom, and area that could be used as an office and then a HUGE living area. This room is well over 1,000 sq ft itself. It could easily hold a pool table, sectional couch with TV, bar or table and have plenty of additional room to manuever. This room has a slider that leads to a large covered patio on the side of the home for shaded outside seating or entertaining. Other features include quartz shower surrounds, new bathroom vanities, LVP flooring, new doors and light fixtures and so much more.  The property has a new wrought iron gate at the entry and an extra garage on the left as you wind up the driveway to the home. This sought after neighborhood has miles of equestrian trails winding through the area.","2816","Active","","1980"
"1","Grass Valley","16710 River Ranch Rd","95949","Contemporary","1","","0.00","Central","317","Fire Pit","Insert,Wood Burning","1","2","Central,Wood Stove","One","660000.00","07/12/24","224073962","40.0000","1742400","07/12/24","690000.00","Detached","0","Front Porch","","No","","Residential","Giddy'up to blaze the trails on this 40 beautiful acres with a cottage full of artistic details. This charming residence exudes a fairy tale feel and feels larger than its square footage suggests. The cottage was originally intended as a guest house & the property is ready for expansion with a 4-bedroom septic system, water holding tanks, a 5.34 KW solar system, & 440-amp electrical service. The  40 acres offer potential for a family compound with at least 4 sites with views!  Explore hiking paths, relax on the gravel patio with tree round stepping stones, enjoy the picnic area, or tend to the large garden. Built with 2x6 construction, two-tone stucco, and a standing seam metal roof, this home is fire-resilient. The upgraded dual-pane windows & abundant natural light fill this open floor plan. The 2-car garage is partially designed for office use. The barn includes two 12 x 12 stalls & a 10 x 12 tack/feed room, with additional plans available.  Just a few miles from schools, shopping, services, & dining, the possibilities are endless, including land division, ranching, a vineyard &  more. 1031 exchange buyers welcome.","1034","Active","","2007"
"3","Nevada City","21374 Maidu Ridge Rd","95959","Mediterranean","6 (8)","","0.00","Central,Whole House Fan,Evaporative Cooler","315","Balcony,Kitchen,Uncovered Courtyard,Entry Gate,Wet Bar","Wood Burning","5","2","Propane,Central,Radiant Floor,Fireplace(s),Solar w/Backup,MultiZone","Three Or More","4300000.00","07/09/24","224077363","40.4800","1763309","07/14/24","4300000.00","RV Possible","1","Covered Patio,Uncovered Patio","","No","","Residential","Escape to your luxurious oasis in the beautiful Sierra Foothills only 20 minutes from downtown Nevada City! Situated on 40.48 acres with 2 acres of lush, fenced landscaping, a 450sf greenhouse, fruit trees and an olive orchard. The main home built with Vastu architecture, a unique opening on the third floor brings warmth, light and energy into the home, which boasts amazing mountain views from every room. The main home has 4 BD plus 4 additional rooms for more bedrooms, office, music, exercise etc. The gourmet kitchen offers custom cabinetry, 2 sub-zero refrigerators, Wolf dual six-burner range, 2 sinks, a wood-fired oven in dining room. Butler's Pantry with a sink, a dishwasher and washer & dryer + upstairs laundry room. A 1200sf guest quarters downstairs with a separate entrance! Also, a 2000sf 3bd, 2bth guest home! The outdoor kitchen has two European wood-fired ovens, a space large enough for a table to seat 12 people, the patio is Imported Italian Limestone. Just outside of Ananda Village with the Master's Market (vegetarian organic grocery store, bakery & deli) only a few minutes away. Not only standard PG&E and propane, also several additional and independent energy sources: solar electric (both on and off-grid, with battery back-up), solar thermal heating. STARLINK","6263","Active","","2014"
"2","Nevada City","21293 Scotts Flat Rd.","95959","Arts & Crafts,Log,Cabin,Rustic,Craftsman","4","","0.00","Ceiling Fan(s),Central","303","Balcony","Master Bedroom,Wood Burning,Free Standing","4","1","Propane,Central,Propane Stove,Radiant,Radiant Floor,Wood Stove,MultiZone","Two","2900000.00","07/26/24","224081156","90.8400","3956990","07/26/24","2900000.00","1/2 Car Space,Garage Door Opener,Uncovered Parking Space,Garage Facing Rear,Guest Parking Available,Workshop in Garage,Interior Access,Other","2","Front Porch","","No","","Residential","Magnificent custom designed and built lodge style home nestled on 90 wooded acres within 1 mile of beautiful Scotts Flat Lake in Nevada City. 6,600+/- SF of incredible architecture featuring 30' high floor to ceiling windows, an inside atrium, detailed woodwork at every turn, open beam ceilings, wood cased windows, granite and stone finishes throughout.  The right wing offers an expansive multi-use Great Room with wood floors, wood stove with a floor to ceiling stone backdrop, French doors leading to a rear deck and front patio highlighted with an overhead balcony plus a kitchen with a center island, refrigerator, stove and microwave, his and her guest bathrooms.  Excellent for a spacious music room, game room or family gatherings. The left wing is a spacious kitchen and dining area with deck access, living room, 4* bedrooms, 2 bathrooms, laundry room and library/office with outside patio access and natural terraced gardens. A rear deck traverses the entire length of the home providing several outside seating opportunities.  Approximately 2,000 sq. ft downstairs include a large, finished, apartment size room with a full bath, shop, storage areas and a garage. Solar for energy efficiency. 50 x 100' concrete slab. Just 5 miles from historic Nevada City.  Paved road access.","6600","Active","","2000"
"1","Grass Valley","12051 Cordell Ct.","95945","Ranch","3","","0.00","Ceiling Fan(s),Central,Heat Pump","299","","Brick,Wood Burning,Free Standing","2","2","Propane,Electric,Fireplace Insert,Fireplace(s),Gas","One","528500.00","07/27/24","224083387","2.0000","87120","07/30/24","575000.00","24'+ Deep Garage,Private,Attached,Deck,RV Storage,Garage Facing Side","0","Front Porch,Uncovered Deck,Uncovered Patio","","No","","Residential","Single Story Grass Valley Home. Spacious 3 bedroom, 2 bath, Ranch style home on 2 treed acres within 2 miles of Grass Valley.  Recent upgrades, Granite kitchen counters, remodeled bathroom, dual pane windows, free standing gas fireplace with stone backdrop and a wood burning brick fireplace, laminate wood style flooring and carpet. Private setting on nicely wooded acreage. 2-car oversize garage. Room for expansion or an ADU. Zoned Res. Ag allowing a few animals.  Paved road access in a great location close to downtown Grass Valley.","2064","Active","","1979"
"0","Penn Valley","20197 Chaparral Cir","95946","Bungalow","3 (4)","","0.00","Ceiling Fan(s),Central","295","","","2","2","Central,Wood Stove","Two","340000.00","06/30/24","224085611","0.4000","17424","08/03/24","499950.00","1/2 Car Space,Garage Door Opener,Garage Facing Front,Uncovered Parking Spaces 2+,Interior Access","1","Back Porch,Uncovered Deck","","Yes","Common Facility","Residential","Incredible deal on this Nevada County property. (This property can go FHA!) Lake Wildwood is nestled in the heart of Nevada County, a beautiful mountain type setting similar to Lake Tahoe in a gated enclave. This charming 3-bedroom, 2.5-bathroom home with over 1,700 sq ft on almost one half acre. Picture yourself enjoying the 300+ acre private lake, perfect for boating, fishing, and water-skiing. The community is a haven of recreation with a championship golf course, five lakeside parks, and a marina with boat launch facilities. Amenities include a clubhouse with activities, lakeside cafe, activities, walking trails, sandy beaches with BBQs and picnic tables. This is more than a home, it's an endless staycation waiting for you and your loved ones. Grab your fishing poles, golf carts, and swimsuits adventure awaits!","1752","Active","Lake Wildwood","1985"
